ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Description,mturkID,age,sex,ethnicity,country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,StartDate2,EndDate2,rt
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:22,3/15/13 10:28,1,1,NA,41,1,10,1,5,5,4,3,5,6,4,5,5,4,6,6,4,4,5,5,5,5,5,5,5,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,5,4,5,5,4,5,4,4,5,4,5,5,5,4,4,4,5,4,3,5,4,6,4,5,4,5,5,4,3,5,5,5,4,5,4,4,4,5,4,4,4,4,5,3,4,4,5,3/15/13 10:22,3/15/13 10:28,5.45
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:29,1,1,NA,35,2,5,1,3,3,4,5,3,3,3,4,3,5,3,3,3,5,4,4,3,3,5,3,2,2,4,5,3,3,3,3,3,3,3,5,5,5,3,3,5,5,3,3,5,3,4,5,3,3,3,4,4,3,5,3,4,5,3,3,3,3,4,3,5,3,3,4,3,3,3,5,3,3,3,3,5,3,4,4,2,5,3,1,3,5,4,3,3,3,3,3/15/13 10:23,3/15/13 10:29,5.983333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:31,1,1,NA,29,2,10,1,6,5,5,5,3,5,5,3,7,5,5,5,6,2,7,6,6,5,6,5,5,6,5,5,5,5,5,6,5,5,7,5,7,4,5,5,6,5,5,5,5,6,5,6,6,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,3,7,5,6,2,5,5,7,4,3,5,5,5,6,7,5,7,5,5,5,4,5,5,5,5,5,6,3/15/13 10:26,3/15/13 10:31,5.316666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:32,1,1,NA,34,1,5,1,5,5,7,5,7,4,6,5,5,4,7,5,4,3,4,4,5,5,4,3,5,4,6,4,6,5,2,4,5,7,6,5,5,6,5,6,7,6,6,5,3,4,7,3,3,6,3,4,2,1,5,5,3,4,5,4,5,6,3,6,3,5,5,6,4,5,5,4,7,4,4,4,5,5,5,2,5,3,4,5,4,4,6,3,4,5,2,3/15/13 10:26,3/15/13 10:32,5.816666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:27,3/15/13 10:33,1,1,NA,42,2,5,1,6,5,5,2,4,6,6,6,6,6,5,6,6,2,7,6,6,7,5,6,6,3,5,5,6,6,7,7,4,6,5,5,7,4,6,5,5,6,4,6,5,2,7,6,6,6,4,6,6,6,6,6,6,6,5,7,5,5,2,5,2,6,6,6,4,5,5,6,5,6,6,6,6,6,4,3,5,5,5,6,5,7,5,3,5,2,3,3/15/13 10:27,3/15/13 10:33,5.616666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:33,1,1,NA,34,2,5,1,5,6,5,3,6,6,4,3,5,6,5,5,6,3,5,5,5,4,6,5,6,6,5,5,6,5,5,3,6,3,5,5,6,5,5,6,5,5,6,5,5,6,7,6,5,6,4,5,5,6,6,5,6,5,2,6,6,5,2,6,2,6,5,6,6,6,6,6,3,6,6,6,6,5,5,3,5,6,5,4,5,2,5,2,6,5,5,3/15/13 10:23,3/15/13 10:33,9.833333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:26,3/15/13 10:33,1,1,NA,21,1,3,1,5,6,1,1,3,1,1,4,5,5,1,5,5,5,5,4,1,3,5,1,2,1,5,5,5,5,3,2,5,3,1,1,3,3,6,4,5,5,1,1,5,4,6,3,1,1,1,5,1,1,5,3,2,6,4,5,1,1,5,6,7,4,1,5,4,4,4,1,4,2,1,1,2,1,5,1,1,6,3,5,4,4,2,2,5,1,4,3/15/13 10:26,3/15/13 10:33,6.816666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:23,3/15/13 10:33,1,1,NA,30,1,6,1,5,4,2,4,5,5,3,2,7,2,2,3,7,6,4,2,2,4,4,4,5,3,3,4,2,2,1,2,3,1,1,3,1,3,2,2,4,2,5,2,2,5,7,4,2,1,2,4,1,2,3,3,1,2,4,1,2,2,7,5,7,7,5,7,2,5,4,5,5,4,2,2,1,2,7,5,2,4,4,4,5,1,1,2,3,3,1,3/15/13 10:23,3/15/13 10:33,10.21666667
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:25,3/15/13 10:34,1,1,NA,29,1,5,1,4,3,3,4,7,5,4,5,5,2,3,5,5,6,7,4,3,5,5,4,5,3,3,2,5,3,6,5,5,5,4,3,6,3,5,6,5,2,6,5,5,3,5,5,5,5,3,2,5,5,3,5,5,2,3,5,3,5,1,6,3,6,6,6,6,6,5,6,1,6,5,7,5,5,6,6,3,6,3,2,6,3,5,1,6,2,2,3/15/13 10:25,3/15/13 10:34,9.033333333
NA,Default Response Set,Anonymous,NA,NA,NA,0,3/15/13 10:24,3/15/13 10:35,1,1,NA,44,2,6,1,6,6,6,6,6,6,5,6,6,6,6,6,6,2,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,2,6,2,6,6,6,6,5,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,4,3/15/13 10:24,3/15/13 10:35,10.58333333
