MTurkID,Age,Gender,Race,Country,Future,Email,IRQ1_1,IRQ1_2,IRQ1_3,IRQ1_4,IRQ1_5,IRQ1_6,IRQ1_7,IRQ1_8,IRQ1_9,IRQ1_10,IRQ1_11,IRQ1_12,IRQ1_13,IRQ1_14,IRQ1_15,IRQ1_16,AAS_close_sum,AQ_SS_avg,AQ_C_avg,AQ_avg,BEQ_nex,BEQ_pex,BEQ_str,BFI_e,BFI_a,BFI_c,BFI_n,BFI_o,BIS11_selfcontrol,BASBAS_drive,COPE_distraction,COPE_active,COPE_emotional,COPE_instrumental,COPE_venting,Reappraisal_avg,Suppression_avg,IRI_EC,IRI_PT,Loneliness_tot,NTB_sum,PANAS_positive,PANAS_negative,PSS_sum,RS_pos,RS_neg,RS_total,SIAS_total,SSDS_total,SSS_A
NA,31,1,5,1,1,NA,4,4,4,5,4,7,4,6,4,4,5,5,4,6,5,6,24,0,0.1,0.05,3.166666667,5,3.5,4,4.333333333,4.333333333,2.25,3.1,9,9,2,3,3,2,2,3.333333333,3,11,17,29,32,27,13,11,47,18,29,4,2,7
NA,30,1,5,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,0.3,0.1,0.2,4,4,4,3,3,3,3,3,12,10,4,6,6,6,2,4,4,14,14,42,30,13,10,20,32,24,8,40,10,4
NA,38,2,5,1,1,NA,6,5,5,5,6,6,6,6,6,6,5,6,4,5,5,6,20,0.8,0.8,0.8,4,5.5,3.5,2.5,4,4,2.25,3.6,12,8,5,6,6,6,4,6,2.5,24,18,41,25,31,10,11,33,24,9,28,4,6
NA,35,2,5,1,1,NA,2,1,2,2,5,7,5,4,6,6,6,6,5,5,6,6,25,0.5,0.3,0.4,6,6,7,1.25,4.111111111,4.222222222,4.375,1.6,9,8,4,4,6,4,6,5,5,21,21,46,47,19,19,27,52,8,44,75,3,6
NA,21,2,5,1,1,NA,4,5,4,5,6,2,2,5,3,6,4,5,4,2,4,5,20,0.4,0.5,0.45,3,4,4.5,3.25,3.333333333,3.333333333,3.125,3.6,13,10,5,7,4,5,6,4.5,4.5,19,10,45,33,34,35,20,37,25,12,40,5,5
NA,48,2,5,1,1,NA,5,5,5,5,5,6,4,6,6,5,5,6,6,6,3,6,18,0.3,0.4,0.35,3.833333333,4,4.666666667,3.625,3.222222222,3.666666667,2.875,3.3,13,12,5,5,5,6,5,4.5,4.75,15,18,43,31,33,20,17,30,21,9,31,10,6
NA,30,1,5,1,1,NA,4,6,5,5,4,6,5,6,6,6,5,6,5,6,5,5,18,0.5,0.6,0.55,2.833333333,5.25,4.5,3.75,3.777777778,4,2,3.4,16,11,4,5,6,5,4,5,4.25,13,18,46,30,27,11,17,35,27,8,4,7,2
NA,21,1,5,1,1,NA,7,3,6,5,7,6,6,6,6,6,7,7,7,6,7,7,23,0.3,0.8,0.55,4.166666667,5.75,5,3.25,3,2.777777778,4.125,3.3,17,8,7,7,6,7,3,3.333333333,2,17,14,44,45,28,35,25,36,18,18,52,2,4
NA,24,1,5,1,1,NA,6,2,7,5,7,7,6,6,7,7,5,7,6,6,6,6,28,0.1,0,0.05,1.5,4.25,4.166666667,2.875,4.444444444,4.666666667,2,2.6,10,6,4,7,5,4,3,6,5,24,5,39,27,39,15,11,30,21,9,21,4,6
NA,40,1,5,1,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,0.3,0.1,0.2,3.833333333,4,4.833333333,2.875,3.333333333,2.888888889,3.375,4,12,9,6,6,6,6,6,4,4.25,23,15,44,31,30,19,20,34,28,6,27,4,7
NA,60,1,6,1,1,NA,1,1,1,4,7,1,6,7,3,2,5,5,4,7,7,7,30,0,0,0,3.833333333,4.5,3.166666667,4,4.888888889,5,1,3.3,6,13,7,7,5,4,5,6.5,2.75,24,25,21,20,39,10,2,22,31,-9,2,2,6
NA,34,2,4,1,2,NA,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,5,17,0.8,0.6,0.7,4,4,4.166666667,2.375,3.666666667,3.888888889,2.625,3.1,14,6,5,5,6,6,5,4,5,17,15,60,32,27,12,19,35,23,12,45,6,2
NA,32,2,5,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,9,0.6,0.3,0.45,2.666666667,4.75,5.5,2,3.888888889,3.555555556,1.875,3.9,11,11,6,6,2,2,5,6,5.25,12,18,53,13,22,12,15,24,18,6,21,7,7
NA,27,1,2,1,1,NA,5,4,4,4,7,6,4,5,5,5,5,5,5,4,4,5,19,0.4,0.5,0.45,4.166666667,5.75,5.333333333,2.5,3.666666667,3.222222222,3.125,3.5,13,9,4,5,6,5,4,4.833333333,5.75,18,23,42,30,27,24,20,39,19,20,39,5,6
NA,21,2,6,1,1,NA,4,5,3,4,4,5,3,5,5,4,3,4,5,3,3,4,14,0.6,0.6,0.6,4.166666667,4.25,4.166666667,2.375,3.111111111,2.888888889,3.75,3.4,15,14,5,4,5,4,6,3.333333333,3.5,18,12,57,28,22,24,21,35,26,9,33,5,7
NA,25,1,5,1,2,NA,5,4,3,3,3,4,5,3,5,3,5,3,5,4,4,5,18,0.3,0.7,0.5,4.333333333,3.5,3.833333333,2.875,3,3,2.875,2.6,13,11,6,5,4,4,4,4,3.75,14,18,50,33,23,19,14,30,25,5,27,3,7
NA,24,2,5,1,1,NA,1,2,3,1,6,3,6,5,2,3,2,5,1,2,2,5,12,1,0.6,0.8,1.833333333,3,5,1.375,2.777777778,3.666666667,3.875,3.4,8,10,5,6,5,2,2,2.166666667,6.25,7,9,56,32,28,16,22,45,12,33,59,6,7
NA,28,2,5,1,1,NA,3,3,3,5,7,6,6,5,3,6,5,6,4,4,5,7,24,0.2,0.2,0.2,4.333333333,4.75,7,1.5,3.555555556,3.111111111,4.25,4.5,14,8,8,6,6,4,5,5.666666667,3.25,19,28,45,33,42,24,19,29,22,7,42,5,7
NA,31,2,5,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,0.8,0.4,0.6,4.333333333,5.25,5.666666667,1.5,2.222222222,5,2.75,3.8,9,13,8,5,2,2,3,4.833333333,1,0,0,50,14,21,16,22,12,33,-21,18,4,2
NA,56,1,5,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0.5,0.75,5.666666667,4.75,4.666666667,1,1.444444444,1.555555556,5,3.5,16,16,6,4,2,2,6,4.833333333,4,0,0,80,22,14,38,30,32,14,18,63,3,2
NA,28,1,5,1,1,NA,5,5,5,5,6,5,7,6,7,6,6,6,6,6,6,6,22,0.1,0,0.05,4.166666667,5.25,4.166666667,3.5,4.111111111,4.222222222,1.75,3.1,7,9,5,7,7,6,3,5.333333333,3.25,23,22,37,36,38,12,12,42,27,15,27,7,4
NA,31,1,5,1,1,NA,3,3,3,4,6,4,5,5,4,6,3,5,6,5,5,6,29,0,0,0,3.833333333,5,2.833333333,2.75,4.555555556,4.888888889,1.125,3.6,6,7,5,6,5,4,4,6,2.25,19,25,29,28,36,10,7,23,30,-7,10,8,7
NA,35,1,5,1,1,NA,5,3,3,5,5,6,6,5,5,5,6,5,5,5,5,5,27,0.1,0.2,0.15,3.5,5,5.166666667,2.75,4,3.555555556,2.875,4,12,9,6,6,5,5,6,4.5,3,17,19,38,35,32,11,19,35,31,4,20,5,5
NA,26,1,5,1,1,NA,3,2,2,2,3,6,5,3,4,5,3,6,6,6,6,7,28,0,0,0,1.666666667,2.5,2.833333333,2.875,3.555555556,5,3.625,4.1,6,5,3,5,4,2,2,2.333333333,6.5,28,28,32,43,30,15,13,38,15,23,8,2,4
NA,22,2,7,1,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,0.4,0.6,0.5,4,5,5,3,3.333333333,3.111111111,2.875,3.6,9,10,6,6,6,6,6,5.5,5.75,14,14,50,34,30,10,20,40,30,10,29,7,5
NA,48,1,5,1,1,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,27,0.3,0.1,0.2,4.333333333,5.75,2.833333333,3.25,4.444444444,4.555555556,1.875,4.2,9,9,5,4,2,3,5,6.333333333,1,25,21,51,35,25,10,7,20,36,-16,0,5,3
NA,61,2,5,1,1,NA,6,5,5,5,5,5,5,5,5,5,4,6,3,5,5,5,24,0.3,0,0.15,4.666666667,5.5,4.833333333,1.75,4.555555556,4.222222222,1.5,3.4,11,6,4,5,4,4,4,6,2.75,27,21,43,37,26,11,13,50,14,36,18,9,3
NA,23,2,5,1,1,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,18,0.6,0.7,0.65,3.833333333,4,3.833333333,2.625,3.111111111,3.111111111,2.625,3,8,10,4,4,4,4,4,4,4.75,12,14,51,30,30,30,20,32,24,8,25,7,3
NA,26,1,5,1,1,NA,3,2,1,2,5,2,2,2,5,3,6,6,4,6,5,7,29,0,0,0,2.333333333,5.25,2.333333333,4.125,3.444444444,4.555555556,1,4.9,8,8,2,8,3,4,2,4.833333333,3.75,15,21,24,27,44,11,1,18,35,-17,1,5,7
NA,58,2,5,1,1,NA,2,1,1,1,5,5,5,1,5,4,1,5,1,4,3,3,16,0.8,0.6,0.7,3.833333333,5.25,5.166666667,2.375,4.111111111,3.444444444,1.625,3,12,8,6,4,2,3,4,5,5.5,28,17,62,19,33,12,19,34,21,13,39,8,3
NA,22,1,5,1,1,NA,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,30,0.2,0,0.1,2.833333333,4.5,4.5,3.125,4.555555556,3.555555556,3.75,4.2,10,5,5,8,8,8,8,5.166666667,3,27,28,23,42,37,34,28,38,18,20,26,6,3
NA,30,2,5,1,2,NA,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,30,0,0,0,5.333333333,6,5,2.625,4.888888889,5,1.875,3.7,7,8,4,5,6,6,2,5,2.25,28,28,22,27,33,11,7,28,26,2,26,6,4
NA,55,2,11,1,1,NA,3,2,2,3,7,7,5,5,6,5,7,5,3,5,5,5,19,0.3,0.1,0.2,4,6.5,5.166666667,2.875,3.777777778,4.222222222,2.5,4.8,7,5,6,8,5,4,4,5.666666667,3.25,25,18,38,26,39,13,10,36,21,15,8,4,7
NA,26,1,5,1,2,NA,4,3,4,2,4,3,3,4,4,3,5,3,3,3,4,5,18,0.4,0.7,0.55,4,4.25,4,3.125,3.111111111,3.111111111,2.875,3.3,13,12,3,3,5,4,5,4,4,16,16,47,30,21,17,19,28,21,7,26,3,8
NA,33,1,5,1,1,NA,3,4,5,4,5,4,4,4,4,4,4,5,5,6,5,6,21,0.1,0,0.05,3.666666667,5,4,3.625,4,4,2,3.8,6,5,5,6,5,6,4,5,4,21,21,31,37,40,20,10,38,29,9,20,6,7
NA,22,2,5,1,1,NA,2,2,1,2,5,2,5,1,5,5,5,6,2,2,2,5,6,0.9,0.9,0.9,1.666666667,5.5,3.833333333,3.375,2,3.444444444,4,4.9,8,5,6,5,5,4,2,5,5.5,24,22,61,16,23,11,36,35,15,20,46,5,3
NA,24,2,5,1,1,NA,3,1,1,1,3,6,3,3,5,5,5,6,3,4,3,3,12,0.7,0.4,0.55,1,1.5,1.666666667,2,2.888888889,4.222222222,2.625,4.2,10,5,4,5,2,4,4,5.166666667,6.75,23,24,63,33,33,26,28,29,33,-4,42,1,2
NA,28,1,5,1,1,NA,5,5,5,5,5,5,5,5,6,5,5,6,5,6,6,6,17,0.1,0.2,0.15,4.333333333,5.25,5,4,3.222222222,3.444444444,2.75,3.3,15,8,5,5,4,6,5,5,4.75,16,20,47,31,31,20,24,39,31,8,26,6,2
NA,25,2,5,1,1,NA,3,6,2,4,5,4,3,6,4,6,4,5,6,3,6,4,21,0.4,0.5,0.45,4.166666667,5.5,5,3.25,4.111111111,4.222222222,3.625,3,14,11,6,3,5,5,5,5.333333333,4.75,14,20,43,31,30,33,9,33,27,6,37,5,6
