MTurkID,Age,Gender,Race,Country,Future,Email,IRQ1_1,IRQ1_2,IRQ1_3,IRQ1_4,IRQ1_5,IRQ1_6,IRQ1_7,IRQ1_8,IRQ1_9,IRQ1_10,IRQ1_11,IRQ1_12,IRQ1_13,IRQ1_14,IRQ1_15,IRQ1_16,AAS_close_sum,AQ_SS_avg,AQ_C_avg,AQ_avg,BEQ_nex,BEQ_pex,BEQ_str,BFI_e,BFI_a,BFI_c,BFI_n,BFI_o,BIS11_selfcontrol,BASBAS_drive,COPE_distraction,COPE_active,COPE_emotional,COPE_instrumental,COPE_venting,Reappraisal_avg,Suppression_avg,IRI_EC,IRI_PT,Loneliness_tot,NTB_sum,PANAS_positive,PANAS_negative,PSS_sum,RS_pos,RS_neg,RS_total,SIAS_total,SSDS_total,SSS_A,IRQ1_TN,IRQ1_EN,IRQ1_TP,IRQ1_EP,IRQ1_total,IRQ2_1,IRQ2_2,IRQ2_3,IRQ2_4,IRQ2_5,IRQ2_6,IRQ2_7,IRQ2_8,IRQ2_9,IRQ2_10,IRQ2_11,IRQ2_12,IRQ2_13,IRQ2_14,IRQ2_15,IRQ2_16,IRQ2_TN,IRQ2_EN,IRQ2_TP,IRQ2_EP,IRQ2_total
NA,20,1,5,1,1,NA,1,2,5,4,7,4,7,6,5,7,5,7,7,7,6,7,24,0.3,0.3,0.3,2.666666667,3.5,4.5,1.75,4.555555556,3.111111111,4.375,3.1,10,6,7,8,4,4,3,5.5,4.25,25,26,40,40,22,26,30,45,14,31,44,7,2,12,24,24,27,87,3,3,5,5,7,3,7,7,6,7,6,6,7,7,6,7,16,24,25,27,92
NA,37,2,5,1,1,NA,4,3,5,5,6,6,7,6,5,6,5,6,5,5,6,6,18,0.7,0.3,0.5,3.333333333,5.5,6.333333333,2.5,3.666666667,3.222222222,3.75,3.3,18,6,8,6,8,6,4,5,5.25,22,12,33,40,34,40,33,40,23,17,50,2,4,17,25,22,22,86,5,5,3,5,7,7,7,6,5,5,4,5,6,6,6,6,18,27,19,24,88
NA,27,1,5,1,1,NA,3,4,3,3,5,6,5,5,5,5,5,5,6,5,5,6,23,0.6,0.3,0.45,4,3.5,2.166666667,1.75,4,4.444444444,3.125,3.7,8,8,5,5,2,2,3,5.166666667,5.25,15,17,39,35,27,15,11,36,19,17,39,4,4,13,21,20,22,76,5,5,6,4,7,7,6,6,5,5,5,5,5,4,4,6,20,26,20,19,85
NA,58,2,5,1,1,NA,2,1,1,1,5,5,5,1,5,4,1,5,1,4,3,3,16,0.8,0.6,0.7,3.833333333,5.25,5.166666667,2.375,4.111111111,3.444444444,1.625,3,12,8,6,4,2,3,4,5,5.5,28,17,62,19,33,12,19,34,21,13,39,8,3,5,16,15,11,47,2,1,2,4,5,5,4,2,5,5,2,5,1,4,5,4,9,16,17,14,56
NA,29,2,5,1,1,NA,6,7,7,4,7,7,6,7,6,6,6,6,4,6,7,5,25,0.5,0.3,0.4,7,6,6.666666667,2.625,3.666666667,2.666666667,3.875,3.3,19,9,6,4,8,5,7,3.833333333,2,27,22,44,39,23,26,30,42,24,18,42,3,5,24,27,24,22,97,6,5,6,4,7,7,7,6,6,6,6,6,4,6,5,6,21,27,24,21,93
NA,24,1,11,1,1,NA,2,2,2,2,4,2,4,4,2,2,2,2,2,2,2,4,11,0.9,0.7,0.8,4.333333333,2.75,2.833333333,1.875,3.111111111,2.222222222,3.875,2.1,18,11,4,2,2,2,5,4,5,15,19,76,27,10,10,28,38,14,24,70,7,1,8,14,8,10,40,2,2,4,1,4,2,2,4,2,2,2,2,2,2,2,4,9,12,8,10,39
NA,41,1,5,1,1,NA,5,3,5,5,7,6,7,5,5,5,5,5,6,7,6,7,29,0,0,0,3.5,5.5,4.333333333,4,5,4.222222222,1.25,3.2,10,9,5,6,4,4,4,5.166666667,3,23,27,23,42,36,10,10,36,26,10,7,3,7,18,25,20,26,89,3,3,5,5,6,5,6,5,5,5,5,5,6,7,7,6,16,22,20,26,84
NA,27,1,2,1,1,NA,5,4,4,4,7,6,4,5,5,5,5,5,5,4,4,5,19,0.4,0.5,0.45,4.166666667,5.75,5.333333333,2.5,3.666666667,3.222222222,3.125,3.5,13,9,4,5,6,5,4,4.833333333,5.75,18,23,42,30,27,24,20,39,19,20,39,5,6,17,22,20,18,77,4,5,5,5,6,6,5,3,4,4,5,5,4,4,5,4,19,20,18,17,74
NA,25,1,5,1,1,NA,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,30,0,0,0,3.166666667,6.25,4,5,5,5,1.625,4,9,5,6,6,8,8,6,6.5,1,26,26,21,29,28,10,19,25,26,-1,1,3,5,28,28,28,27,111,7,6,5,6,6,7,7,7,7,6,6,7,6,6,6,7,24,27,26,25,102
NA,33,1,5,1,1,NA,5,5,5,5,7,6,6,6,6,6,6,6,5,6,6,6,30,0.1,0,0.05,4,6.25,5.166666667,4.5,3.333333333,4.222222222,2,4.2,10,9,4,6,6,5,2,5.5,2.75,23,17,32,27,33,11,8,24,27,-3,2,2,6,20,25,24,23,92,4,4,4,4,6,7,7,6,6,6,6,6,5,6,6,6,16,26,24,23,89
NA,22,2,5,1,1,NA,4,4,4,4,6,5,5,5,5,5,5,7,4,5,5,5,23,0.1,0.3,0.2,3.666666667,4.75,4.333333333,3.25,3.555555556,4.111111111,3,3.1,10,5,6,4,4,2,4,4.166666667,3.75,13,16,43,34,27,18,16,37,19,18,26,8,4,16,21,22,19,78,3,4,3,3,5,5,5,5,5,5,5,6,4,5,5,5,13,20,21,19,73
NA,33,1,5,1,1,NA,6,5,5,5,7,7,6,6,5,6,6,6,6,5,6,6,27,0.2,0.1,0.15,5.833333333,5.25,6.166666667,3.875,3.111111111,4.333333333,3.875,3.9,12,7,7,8,6,4,8,2.333333333,1.75,21,8,34,45,29,17,17,35,28,7,18,1,5,21,26,23,23,93,5,3,6,6,6,6,7,6,6,6,5,6,5,5,6,6,20,25,23,22,90
NA,26,1,5,1,1,NA,3,4,3,5,4,3,5,5,5,6,4,6,4,5,5,5,23,0.1,0.1,0.1,3.666666667,4.75,2.833333333,4.125,2.888888889,3.222222222,2.625,4.2,15,7,2,4,6,5,4,3.666666667,3,13,9,33,33,29,18,8,25,24,1,27,2,7,15,17,21,19,72,4,5,4,3,5,4,5,5,5,5,6,5,5,6,6,6,16,19,21,23,79
NA,30,2,5,1,1,NA,5,6,5,4,6,6,5,6,6,7,6,6,6,6,6,7,28,0,0,0,4.5,5.5,5,3.75,4.555555556,5,2.125,3,6,6,5,7,5,4,3,6,3.75,15,20,23,33,30,10,4,27,29,-2,6,6,6,20,23,25,25,93,6,2,5,5,5,6,6,6,6,7,6,6,6,6,6,6,18,23,25,24,90
NA,49,1,5,1,1,NA,5,4,5,4,6,7,6,6,5,5,5,6,6,6,7,7,28,0,0,0,4.5,6,4.333333333,4.125,3.888888889,4.666666667,1.5,4.4,9,8,3,7,6,6,6,5.833333333,2.75,24,18,28,32,38,11,8,34,32,2,6,6,4,18,25,21,26,90,3,3,3,4,7,6,6,5,6,6,6,7,6,7,6,7,13,24,25,26,88
NA,26,1,5,1,1,NA,1,1,1,2,5,5,4,1,1,1,3,1,1,2,5,4,17,0.6,0.1,0.35,2.5,4.75,3.666666667,2.75,2.333333333,4,2.375,4.9,7,9,3,2,2,2,2,5.666666667,2.5,16,28,57,20,27,20,18,16,35,-19,12,4,3,5,15,6,12,38,1,1,1,1,6,3,5,4,1,1,2,1,4,4,5,4,4,18,5,17,44
NA,41,1,5,1,1,NA,2,2,3,2,4,3,3,3,3,3,3,3,2,3,2,4,9,1,0.7,0.85,1.166666667,2.25,1.5,2.125,3.666666667,3.777777778,1.875,4.1,11,9,6,6,2,2,2,4.833333333,6,10,19,64,16,28,13,16,29,19,10,49,5,5,9,13,12,11,45,1,1,1,1,4,2,2,2,2,2,2,3,2,4,3,4,4,10,9,13,36
NA,28,2,4,1,1,NA,4,5,5,4,7,6,6,6,5,5,6,7,6,2,5,6,18,0.4,0.3,0.35,5.5,6,5.833333333,1.125,3.666666667,3.555555556,3.625,4.3,8,7,6,6,4,4,5,5,4.5,24,22,60,41,10,14,31,51,14,37,75,1,4,18,25,23,19,85,3,3,5,6,6,6,7,7,6,6,5,7,3,7,5,7,17,26,24,22,89
NA,45,1,5,1,1,NA,3,2,2,2,4,3,3,4,2,2,3,2,3,4,3,4,18,1,0.6,0.8,2.5,3,2,2.25,2.333333333,4,2.625,2.8,9,10,7,6,2,3,3,3.333333333,5.5,12,21,60,23,25,12,20,28,30,-2,21,4,6,9,14,9,14,46,2,2,3,3,5,2,3,5,4,5,4,5,4,5,4,5,10,15,18,18,61
NA,34,2,5,1,1,NA,5,4,4,4,6,6,6,5,5,6,4,6,5,5,5,6,22,0.2,0.2,0.2,4.333333333,4.75,6,2,4.111111111,3.888888889,4,3.6,10,10,4,4,4,3,4,5,3.5,24,21,56,43,25,26,22,39,23,16,38,5,5,17,23,21,21,82,5,6,6,3,6,6,6,6,5,5,4,5,4,4,5,5,20,24,19,18,81
NA,59,2,5,1,1,NA,2,2,2,4,5,4,2,2,2,2,3,2,4,4,4,5,19,0.7,0,0.35,5,5.75,5,3,3.555555556,4.444444444,2.375,3.7,8,8,5,6,2,2,4,5,4,24,21,51,24,37,11,10,31,29,2,32,5,4,10,13,9,17,49,2,1,1,2,6,6,4,1,4,2,2,2,4,5,4,5,6,17,10,18,51
NA,31,1,5,1,1,NA,3,3,3,4,6,4,5,5,4,6,3,5,6,5,5,6,29,0,0,0,3.833333333,5,2.833333333,2.75,4.555555556,4.888888889,1.125,3.6,6,7,5,6,5,4,4,6,2.25,19,25,29,28,36,10,7,23,30,-7,10,8,7,13,20,18,22,73,3,4,2,5,6,5,7,5,5,5,5,6,6,6,6,7,14,23,21,25,83
NA,34,1,5,1,1,NA,3,3,3,2,5,5,4,4,3,3,3,3,4,5,4,5,15,0.7,0,0.35,4.333333333,5,4.666666667,2,3.111111111,3.444444444,3.25,3.9,12,9,4,5,2,2,4,4.666666667,4.25,20,20,54,34,27,19,21,39,20,19,33,3,2,11,18,12,18,59,3,3,4,3,5,5,5,4,4,4,3,4,3,5,5,6,13,19,15,19,66
NA,35,2,5,1,1,NA,4,3,4,5,6,5,5,6,7,7,7,7,5,6,6,7,24,0,0,0,3.333333333,6.25,2.666666667,4.5,4,4,1.25,4.4,12,5,3,8,8,6,6,5.833333333,3,18,24,23,24,42,11,5,28,32,-4,4,7,6,16,22,28,24,90,3,3,4,5,6,6,5,6,6,7,7,7,5,6,5,7,15,23,27,23,88
NA,33,1,5,1,1,NA,2,2,5,5,6,6,6,5,2,2,3,5,3,3,4,3,18,0.8,0.4,0.6,2.5,4.5,3.333333333,2.375,2.666666667,4.888888889,2.875,3.7,6,12,4,7,5,3,2,4.833333333,4.5,7,21,50,29,25,16,16,29,34,-5,43,2,6,14,23,12,13,62,3,3,3,2,6,5,6,5,3,5,5,6,2,3,5,5,11,22,19,15,67
NA,41,1,5,1,1,NA,5,3,5,5,5,5,6,5,5,5,5,5,6,5,5,5,24,0,0,0,3.5,5,3.166666667,3.875,3.555555556,4.444444444,1.875,3.8,11,7,3,4,5,4,4,5,2.5,19,21,32,30,18,10,10,26,34,-8,8,5,7,18,21,20,21,80,5,4,2,5,6,5,6,5,4,5,5,5,2,5,5,6,16,22,19,18,75
