workerid,q,rt,response,browser,mTurkID,age,gender,ethnicity,irq_tn1,irq_tn2,irq_en1,irq_en2,irq_tp1,irq_tp2,irq_ep1,irq_ep2,irq_tn3,irq_tn4,irq_en3,irq_en4,irq_tp3,irq_tp4,irq_ep3,irq_ep4,irq_tn_total,irq_tp_total,irq_en_total,irq_ep_total,irq_total,erq_r1,erq_r3,erq_r5,erq_r7,erq_r8,erq_r10,erq_s2,erq_s4,erq_s6,erq_s9,erq_r_total,erq_s_total,bfi_e1,bfi_e6,bfi_e11,bfi_e16,bfi_e21,bfi_e26,bfi_e31,bfi_e36,bfi_e_total,task3_about,task3_suspect,task3_check,task3_belief,comments
NA,choice,1970,person,Chrome,NA,24,M,4,6,4,7,4,5,6,4,6,4,5,6,6,6,5,7,6,19,22,23,23,87,6,7,4,7,6,6,6,2,2,3,36,13,3,2,4,4,3,3,2,4,25,NA,NA,1,NA,NA
NA,choice,2370,person,Chrome,NA,38,F,5,4,2,5,4,4,4,2,5,4,2,4,2,4,5,4,5,12,17,15,16,60,6,6,5,6,6,6,4,2,3,4,35,13,5,3,3,4,5,4,3,2,29,NA,NA,1,NA,NA
NA,choice,2685,no_person,Chrome,NA,27,M,5,5,4,6,3,5,6,5,6,2,6,4,5,6,6,5,6,17,23,18,22,80,4,6,4,4,5,6,5,3,5,5,29,18,4,4,4,4,4,4,4,4,32,NA,NA,0,NA,NA
NA,choice,3778,no_person,Explorer,NA,30,M,5,3,3,4,2,3,5,2,4,2,3,3,3,2,3,2,5,11,13,12,13,49,6,6,6,6,6,6,5,3,6,6,36,20,2,2,2,2,2,3,3,2,18,NA,NA,1,NA,NA
NA,choice,3690,person,Chrome,NA,35,M,5,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,4,4,4,10,7,25,4,4,4,4,4,4,7,7,7,7,24,28,3,3,5,4,4,5,5,3,32,NA,NA,0,NA,NA
NA,choice,2736,no_person,Chrome,NA,26,M,5,2,3,5,5,2,5,5,5,2,2,5,3,2,5,5,6,9,14,18,21,62,6,6,6,6,6,5,2,2,2,2,35,8,2,1,4,4,1,2,2,2,18,NA,NA,1,NA,NA
NA,choice,4618,no_person,Chrome,NA,40,M,5,5,5,5,5,5,5,4,5,4,3,5,4,5,6,5,5,17,21,19,19,76,6,6,5,6,6,6,6,5,6,6,35,23,2,2,3,3,2,3,2,3,20,NA,NA,1,NA,NA
NA,choice,2568,person,Explorer,NA,28,F,5,6,7,7,7,5,6,6,6,7,6,7,7,4,6,6,6,26,21,28,24,99,5,6,7,6,6,6,2,2,2,2,36,8,4,3,1,1,4,1,2,4,20,NA,NA,1,NA,NA
NA,choice,5207,no_person,Chrome,NA,30,M,5,6,5,3,3,6,5,4,4,4,4,6,3,5,3,6,2,19,19,15,16,69,6,3,5,3,4,6,4,3,7,4,27,18,5,1,4,3,1,2,2,4,22,NA,NA,0,NA,NA
NA,choice,5167,no_person,Chrome,NA,37,F,5,4,4,6,5,5,5,4,5,4,4,5,2,4,5,5,5,16,19,18,19,72,7,7,7,7,6,6,4,1,1,1,40,7,3,3,3,3,3,1,3,3,22,NA,NA,0,NA,NA
NA,choice,3178,no_person,Chrome,NA,31,F,5,7,4,7,6,6,6,6,7,5,6,7,6,5,6,6,7,22,23,26,26,97,4,3,3,5,4,4,1,1,1,3,23,6,5,5,4,5,5,3,5,5,37,NA,NA,0,NA,NA
NA,choice,8308,no_person,Chrome,NA,23,M,6,4,2,4,3,3,2,2,3,3,2,4,3,2,2,3,4,11,9,14,12,46,6,6,6,5,6,5,7,6,7,6,34,26,2,1,2,2,1,4,2,2,16,NA,NA,1,NA,NA
