workerid,n,pic,rt,response,browser
NA,6,3220,2390,2,Chrome
NA,3,1274,1553,1,Chrome
NA,16,9300,291,4,Chrome
NA,19,9584,3382,5,Chrome
NA,2,1220,1666,4,Chrome
NA,10,6550,2024,3,Chrome
NA,15,9250,3774,4,Chrome
NA,13,9042,2960,5,Chrome
NA,4,2053,1812,5,Chrome
NA,12,8230,1981,3,Chrome
NA,20,9592,1117,1,Chrome
NA,8,3550.1,1408,3,Chrome
NA,9,6212,994,5,Chrome
NA,17,9320,1907,6,Chrome
NA,7,3530,2068,3,Chrome
NA,18,9373,1880,4,Chrome
NA,1,1052,1167,1,Chrome
NA,11,6838,2783,2,Chrome
NA,14,9181,2312,6,Chrome
NA,5,3160,1112,1,Chrome
NA,1,1052,2665,3,Chrome
NA,12,8230,1691,2,Chrome
NA,9,6212,2620,1,Chrome
NA,6,3220,5056,2,Chrome
NA,16,9300,939,1,Chrome
NA,19,9584,1970,3,Chrome
NA,15,9250,2048,1,Chrome
NA,20,9592,1987,3,Chrome
NA,8,3550.1,964,1,Chrome
NA,11,6838,2874,1,Chrome
NA,7,3530,1301,1,Chrome
NA,10,6550,1088,1,Chrome
NA,3,1274,1268,3,Chrome
NA,4,2053,2882,2,Chrome
NA,18,9373,4484,1,Chrome
NA,13,9042,2817,2,Chrome
NA,14,9181,2140,1,Chrome
NA,17,9320,985,1,Chrome
NA,5,3160,1753,2,Chrome
NA,2,1220,1084,3,Chrome
NA,15,9250,13022,7,Chrome
NA,13,9042,2924,6,Chrome
NA,12,8230,1444,6,Chrome
NA,11,6838,4780,5,Chrome
NA,20,9592,2217,4,Chrome
NA,14,9181,1346,7,Chrome
NA,19,9584,1146,5,Chrome
NA,7,3530,2250,7,Chrome
NA,10,6550,1638,5,Chrome
NA,17,9320,2140,6,Chrome
NA,16,9300,3063,7,Chrome
NA,9,6212,4979,7,Chrome
NA,4,2053,4650,6,Chrome
NA,5,3160,3527,5,Chrome
NA,18,9373,2148,4,Chrome
NA,8,3550.1,9157,5,Chrome
NA,3,1274,1251,3,Chrome
NA,6,3220,1642,3,Chrome
NA,2,1220,1382,4,Chrome
NA,1,1052,1066,4,Chrome
