workerid,q,rt,response,browser,mTurkID,age,gender,ethnicity,irq_tn1,irq_tn2,irq_en1,irq_en2,irq_tp1,irq_tp2,irq_ep1,irq_ep2,irq_tn3,irq_tn4,irq_en3,irq_en4,irq_tp3,irq_tp4,irq_ep3,irq_ep4,irq_tn_total,irq_tp_total,irq_en_total,irq_ep_total,irq_total,erq_r1,erq_r3,erq_r5,erq_r7,erq_r8,erq_r10,erq_s2,erq_s4,erq_s6,erq_s9,erq_r_total,erq_s_total,bfi_e1,bfi_e6,bfi_e11,bfi_e16,bfi_e21,bfi_e26,bfi_e31,bfi_e36,bfi_e_total,task3_about,task3_suspect,task3_check,task3_belief,comments,task_mrate
NA,choice,8162,no_person,Firefox,NA,40,M,5,1,2,4,6,5,3,3,4,2,2,4,3,3,2,4,4,7,13,17,15,52,5,5,6,6,5,5,4,3,2,2,32,11,3,3,3,4,3,3,3,3,25,NA,NA,1,NA,NA,5.45
NA,choice,4836,person,Explorer,NA,33,F,5,6,2,6,6,2,7,6,7,4,4,6,4,4,6,6,7,16,19,22,26,83,7,7,6,6,6,6,5,2,2,2,38,11,4,4,4,3,4,4,4,4,31,NA,NA,1,NA,NA,5.3
NA,choice,11727,no_person,Mozilla,NA,56,F,5,5,6,7,7,6,5,6,6,3,6,6,4,3,6,4,6,20,20,24,22,86,5,6,6,6,6,6,2,2,5,2,35,11,5,5,3,4,5,4,4,4,34,NA,NA,1,NA,NA,4.95
NA,choice,5960,person,Chrome,NA,23,F,4,2,4,7,7,6,5,1,6,2,1,6,5,1,6,5,6,9,18,25,18,70,6,5,5,5,5,5,7,4,7,6,31,24,1,1,2,1,1,3,1,1,11,NA,NA,1,NA,NA,6.25
NA,choice,3349,no_person,Chrome,NA,20,M,5,2,2,6,5,5,5,3,4,2,1,5,5,5,6,5,5,7,21,21,17,66,5,5,6,5,5,5,7,3,6,6,31,22,1,2,1,2,2,2,2,2,14,NA,NA,1,NA,NA,5.8
NA,choice,3378,person,Chrome,NA,34,F,5,3,3,5,5,5,5,4,5,3,2,5,3,3,5,5,6,11,18,18,20,67,5,5,5,6,6,5,6,2,5,5,32,18,2,2,2,3,2,2,2,2,17,NA,NA,1,NA,NA,6.5
NA,choice,4780,person,Chrome,NA,29,M,5,3,2,6,5,3,2,4,5,3,3,6,4,3,3,4,6,11,11,21,19,62,6,6,6,6,5,6,6,3,5,6,35,20,3,1,2,3,1,2,3,3,18,NA,NA,0,NA,NA,3.95
NA,choice,7899,person,Mozilla,NA,35,F,4,6,4,7,5,6,6,5,6,4,6,5,6,6,6,6,5,20,24,23,22,89,6,6,7,7,6,6,3,2,3,4,38,12,4,3,4,4,3,4,4,4,30,NA,NA,1,NA,NA,4.6
NA,choice,3495,no_person,Firefox,NA,60,F,5,5,2,6,5,5,3,6,7,3,5,4,3,6,5,7,6,15,19,18,26,78,6,6,5,6,6,6,3,2,2,2,35,9,4,3,4,3,4,4,4,3,29,NA,NA,1,NA,NA,4.55
NA,choice,14291,person,Chrome,NA,29,F,4,5,4,7,2,5,5,2,4,3,1,2,1,2,2,1,2,13,14,12,9,48,5,6,5,5,6,7,6,6,5,6,34,23,1,2,2,1,1,1,1,1,10,NA,NA,1,NA,NA,6.4
