•ÈÀV1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Intro,mTurk ID,Age,Gender,Ethnicity,Country,Exper_text,Exper_rate_1,SS_text,SS_rate_1,SS_rate_2,SS_rate_3,SS_num,SS_time,IRQ_1,IRQ_2,IRQ_3,IRQ_4,IRQ_5,IRQ_6,IRQ_7,IRQ_8,IRQ_9,IRQ_10,IRQ_11,IRQ_12,IRQ_13,IRQ_14,IRQ_15,IRQ_16,ERQ_1,ERQ_2,ERQ_3,ERQ_4,ERQ_5,ERQ_6,ERQ_7,ERQ_8,ERQ_9,ERQ_10,BFI_E_1,BFI_E_2,BFI_E_3,BFI_E_4,BFI_E_5,BFI_E_6,BFI_E_7,BFI_E_8,TY,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,DESCRIPTION:åÊåÊYou are invited to /  participate in a research study on social decision-making.åÊ /  Yo...,"In this study, we'll ask you to tell us about one negative experience you had in the past week, a...",Please enter your mTurk ID:,Please enter your age:,Please indicate your gender:,Please indicate your racial/ethnic affiliation:,Select your country of residence:,Describe one recent negative experience you had in the past week. What happened? How did it make...,Please indicate your response below.-How negative did you feel as a result of this experience?,Describe how one person you know well responded when you told them about your experience. How did...,Please indicate your responses below.-How well do you think your friend understood your feelings?,Please indicate your responses below.-How well did your friend make you feel cared for?,Please indicate your responses below.-How much better did you feel afterwards?,Please estimate to the best of your ability how many people total you told about your experience.,Please estimate to the best of your ability how many minutes total you spent talking about your e...,"Although some of the following questions may seem similar to one / another, they differ in importan...-When something bad happens, my first impulse is to seek out the company of others.","Although some of the following questions may seem similar to one / another, they differ in importan...-When I'm having trouble, I can't wait to tell someone about it","Although some of the following questions may seem similar to one / another, they differ in importan...-I just have to get help from someone when things are going wrong.","Although some of the following questions may seem similar to one / another, they differ in importan...-I manage my emotions by expressing them to others.","Although some of the following questions may seem similar to one / another, they differ in importan...-I appreciate having others‰Ûª support through difficult times.","Although some of the following questions may seem similar to one / another, they differ in importan...-Sometimes I just need someone to understand where I‰Ûªm coming from.","Although some of the following questions may seem similar to one / another, they differ in importan...-It really helps me feel better during stressful situations when someone knows and cares about what I‰Ûªm going through.","Although some of the following questions may seem similar to one / another, they differ in importan...-I really appreciate having other people to help me figure out my problems.","Although some of the following questions may seem similar to one / another, they differ in importan...-When things are going well, I just have to tell other people about it.","Although some of the following questions may seem similar to one / another, they differ in importan...-When something good happens, my first impulse is to tell someone about it.","Although some of the following questions may seem similar to one / another, they differ in importan...-When things are going well, I feel compelled to seek out other people.","Although some of the following questions may seem similar to one / another, they differ in importan...-When I want to celebrate something good, I seek out certain people to tell them about it.","Although some of the following questions may seem similar to one / another, they differ in importan...-I‰Ûªm happier when I‰Ûªm with my friends than when I‰Ûªm by myself.","Although some of the following questions may seem similar to one / another, they differ in importan...-Being with other people tends to put a smile on my face.","Although some of the following questions may seem similar to one / another, they differ in importan...-I find that even just being around other people can help me to feel better.","Although some of the following questions may seem similar to one / another, they differ in importan...-I really enjoy being around the people I know.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I want to feel more positive emotion (such as joy or amusement), I change what I‰Ûªm thinking about.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-I keep my emotions to myself.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I want to feel less negative emotion (such as sadness or anger), I change what I‰Ûªm thinking about.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I am feeling positive emotions, I am careful not to express them.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I‰Ûªm faced with a stressful situation, I make myself think about it in a way that helps me stay calm.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-I control my emotions by not expressing them.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I want to feel more positive emotion, I change the way I‰Ûªm thinking about the situation.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-I control my emotions by changing the way I think about the situation I‰Ûªm in.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I am feeling negative emotions, I make sure not to express them.","We would like to ask you some questions about your emotional /  life, in particular, how you contro...-When I want to feel less negative emotion, I change the way I‰Ûªm thinking about the situation.","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Is talkative","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Is reserved","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Is full of energy","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Generates a lot of enthusiasm","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Tends to be quiet","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Has an assertive personality","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Is sometimes shy, inhibited","Here are a number of characteristics that may or may not apply to / you.åÊ For example, do you agree...-Is outgoing, sociable",Thank you for your participation in our study! åÊåÊ /   /  If you have any questions or concerns regard...,LocationLatitude,LocationLongitude,LocationAccuracy
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:44,1,1,1,NA,26,1,6,1,NA,6,NA,7,7,7,4,180,6,3,6,5,3,5,4,4,6,5,6,3,6,3,6,5,5,5,3,5,6,6,3,3,4,4,4,2,5,2,4,4,2,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:38,10/10/14 7:44,1,1,1,NA,33,1,5,1,NA,5,NA,6,5,5,2,45,6,5,5,6,5,7,5,5,6,6,6,6,6,5,5,5,5,4,5,2,5,2,5,5,6,5,4,2,3,3,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:44,1,1,1,NA,54,2,5,1,NA,7,NA,7,7,5,1,15,6,5,6,5,6,6,6,7,3,5,3,5,3,5,5,5,6,3,6,2,5,2,6,6,5,6,4,4,2,2,4,1,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:45,1,1,1,NA,41,2,5,1,NA,6,NA,5,4,4,1,10,2,2,2,2,3,2,2,3,4,3,4,4,5,5,4,4,6,7,6,5,6,3,3,3,3,3,4,3,4,4,3,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:45,1,1,1,NA,35,1,5,1,NA,6,NA,6,6,5,3,45,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,2,5,2,5,2,5,5,2,5,4,4,2,2,4,2,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:45,1,1,1,NA,39,1,5,1,NA,4,NA,5,5,3,2,30,3,2,4,3,7,5,6,6,2,3,3,5,6,6,6,6,3,5,4,2,5,5,3,5,5,5,5,1,4,4,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:38,10/10/14 7:46,1,1,1,NA,36,1,10,1,NA,4,NA,6,6,6,7,35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,3,3,5,5,4,5,5,3,4,3,3,4,4,4,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:39,10/10/14 7:47,1,1,1,NA,33,2,5,1,NA,3,NA,6,7,6,1,20,3,2,2,3,5,6,5,4,4,5,3,6,4,5,5,6,6,7,6,4,7,6,6,7,6,6,2,5,2,2,4,3,4,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:47,1,1,1,NA,34,1,6,1,NA,6,NA,7,7,7,2,60,6,6,6,7,7,7,7,7,6,6,6,6,5,6,7,6,6,1,6,1,6,1,6,6,2,6,5,2,5,5,1,4,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:40,10/10/14 7:48,1,1,1,NA,30,2,5,1,NA,7,NA,7,7,7,10,120,6,6,5,6,7,7,7,4,6,6,6,6,7,7,7,7,5,2,5,2,6,2,5,5,3,5,4,2,4,4,2,3,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:41,10/10/14 7:48,1,1,1,NA,30,2,2,1,NA,5,NA,7,7,6,4,300,1,2,4,5,7,7,7,6,6,7,1,6,1,5,5,6,7,3,7,1,6,5,6,7,5,7,4,3,5,5,2,5,1,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:38,10/10/14 7:48,1,1,1,NA,41,2,5,1,NA,6,NA,4,7,4,1,15,6,6,4,6,6,6,6,5,6,6,6,6,6,6,6,6,4,3,4,2,4,2,4,4,2,4,3,4,3,4,4,3,4,3,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:42,10/10/14 7:49,1,1,1,NA,32,2,5,1,NA,7,NA,3,7,4,4,30,5,4,4,4,6,4,5,5,6,6,6,6,6,5,6,6,5,3,6,3,5,3,6,6,2,5,4,2,4,4,2,4,2,4,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:49,1,1,1,NA,27,2,5,1,NA,7,NA,7,7,6,2,20,7,5,6,7,7,6,6,6,6,6,6,7,5,6,6,7,6,2,6,2,5,1,6,5,2,6,2,5,5,4,5,2,5,2,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:44,10/10/14 7:49,1,1,1,NA,27,1,5,1,NA,6,NA,6,7,7,1,25,6,5,6,6,7,7,7,7,5,5,6,6,7,7,7,7,5,2,6,1,6,1,6,6,2,6,4,2,4,5,1,5,2,5,1,NA,NA,-1
NA,Default Response Set,Anonymous,,,NA,0,10/10/14 7:42,10/10/14 7:49,1,1,1,NA,27,2,5,1,NA,5,NA,6,7,6,2,10,5,5,3,6,6,6,7,5,5,6,3,6,5,5,5,5,5,6,5,2,5,3,6,6,3,6,1,4,2,2,5,1,5,1,1,NA,NA,-1
